chipid,time,rssi
225179970183714,1747415186.6307127,-75
243944968631091,1747415186.6307127,-81
243944968631091,1747415186.8307126,-80
225179970183714,1747415186.8307126,-72
206414971736337,1747415186.8307126,-47
206414971736337,1747415187.0307126,-51
225179970183714,1747415187.0307126,-67
243944968631091,1747415187.0307126,-79
206414971736337,1747415187.2307127,-51
225179970183714,1747415187.2307127,-72
243944968631091,1747415187.2307127,-75
225179970183714,1747415187.4307127,-72
243944968631091,1747415187.4307127,-82
206414971736337,1747415187.4307127,-49
206414971736337,1747415187.6307127,-52
225179970183714,1747415187.6307127,-74
243944968631091,1747415187.6307127,-78
206414971736337,1747415187.8307126,-48
225179970183714,1747415187.8307126,-71
243944968631091,1747415187.8307126,-77
243944968631091,1747415188.0307126,-80
225179970183714,1747415188.0307126,-72
206414971736337,1747415188.0307126,-49
206414971736337,1747415188.2307127,-44
225179970183714,1747415188.2307127,-72
243944968631091,1747415188.2307127,-78
206414971736337,1747415188.4307127,-49
225179970183714,1747415188.4307127,-75
243944968631091,1747415188.4307127,-78
243944968631091,1747415188.6307127,-79
225179970183714,1747415188.6307127,-72
206414971736337,1747415188.6307127,-55
206414971736337,1747415188.8307126,-47
225179970183714,1747415188.8307126,-73
243944968631091,1747415188.8307126,-77
206414971736337,1747415189.0307126,-49
225179970183714,1747415189.0307126,-69
243944968631091,1747415189.0307126,-81
243944968631091,1747415189.2307127,-82
225179970183714,1747415189.2307127,-70
206414971736337,1747415189.2307127,-45
206414971736337,1747415189.4307127,-48
225179970183714,1747415189.4307127,-74
243944968631091,1747415189.4307127,-76
206414971736337,1747415189.6307127,-46
225179970183714,1747415189.6307127,-73
243944968631091,1747415189.6307127,-76
225179970183714,1747415189.8307126,-72
243944968631091,1747415189.8307126,-76
206414971736337,1747415189.8307126,-48
243944968631091,1747415190.0307126,-78
206414971736337,1747415190.0307126,-45
225179970183714,1747415190.0307126,-73
206414971736337,1747415190.2307127,-50
225179970183714,1747415190.2307127,-74
243944968631091,1747415190.2307127,-77
206414971736337,1747415190.4307127,-49
225179970183714,1747415190.4307127,-73
243944968631091,1747415190.4307127,-79
243944968631091,1747415190.6307127,-76
225179970183714,1747415190.6307127,-71
206414971736337,1747415190.6307127,-49
206414971736337,1747415190.8307126,-48
225179970183714,1747415190.8307126,-71
243944968631091,1747415190.8307126,-76
206414971736337,1747415191.0307126,-51
225179970183714,1747415191.0307126,-75
243944968631091,1747415191.0307126,-81
243944968631091,1747415191.2307127,-78
225179970183714,1747415191.2307127,-72
206414971736337,1747415191.2307127,-48
206414971736337,1747415191.4307127,-47
225179970183714,1747415191.4307127,-72
243944968631091,1747415191.4307127,-79
206414971736337,1747415191.6307127,-47
225179970183714,1747415191.6307127,-73
243944968631091,1747415191.6307127,-80
243944968631091,1747415191.8307126,-77
225179970183714,1747415191.8307126,-76
206414971736337,1747415191.8307126,-50
206414971736337,1747415192.0307126,-49
225179970183714,1747415192.0307126,-70
243944968631091,1747415192.0307126,-74
206414971736337,1747415192.2307127,-49
225179970183714,1747415192.2307127,-70
243944968631091,1747415192.2307127,-80
243944968631091,1747415192.4307127,-78
206414971736337,1747415192.4307127,-50
225179970183714,1747415192.4307127,-72
206414971736337,1747415192.6307127,-50
225179970183714,1747415192.6307127,-73
243944968631091,1747415192.6307127,-79
206414971736337,1747415192.8307126,-48
225179970183714,1747415192.8307126,-73
243944968631091,1747415192.8307126,-77
243944968631091,1747415193.0307126,-80
225179970183714,1747415193.0307126,-72
206414971736337,1747415193.0307126,-50
206414971736337,1747415193.2307127,-49
225179970183714,1747415193.2307127,-73
243944968631091,1747415193.2307127,-76
206414971736337,1747415193.4307127,-51
225179970183714,1747415193.4307127,-73
243944968631091,1747415193.4307127,-75
243944968631091,1747415193.6307127,-81
206414971736337,1747415193.6307127,-49
225179970183714,1747415193.6307127,-73
206414971736337,1747415193.8307126,-53
225179970183714,1747415193.8307126,-71
243944968631091,1747415193.8307126,-76
206414971736337,1747415194.0307126,-48
225179970183714,1747415194.0307126,-72
243944968631091,1747415194.0307126,-81
206414971736337,1747415194.2307127,-54
225179970183714,1747415194.2307127,-74
243944968631091,1747415194.2307127,-81
225179970183714,1747415194.4307127,-73
206414971736337,1747415194.4307127,-47
243944968631091,1747415194.4307127,-76
225179970183714,1747415194.6307127,-78
206414971736337,1747415194.6307127,-48
243944968631091,1747415194.6307127,-81

